DB_Name,KGS,Schema_Comp,Relationship_Comp
bird_cars,bird_cars_kgs_data,1.0,1.0
bird_movie,bird_movie_kgs_data,1.0,1.0
bird_restaurant,bird_restaurant_kgs_data,1.0,1.0
bird_university,bird_university_kgs_data,1.0,1.0
spider_aircraft,spider_aircraft_kgs_data,1.0,1.0
spider_apartment_rentals,spider_apartment_rentals_kgs_data,1.0,1.0
spider_cinema,spider_cinema_kgs_data,1.0,1.0
spider_flight_company,spider_flight_company_kgs_data,1.0,1.0
spider_real_estate_rentals,spider_real_estate_rentals_kgs_data,1.0,1.0
spider_storm_record,spider_storm_record_kgs_data,1.0,1.0
spider_university_rank,spider_university_rank_kgs_data,1.0,1.0
